Product Name,Style Code,Stock Control,Code,Supplier Code,Supplier,Contact ID
WINDSOR 5323 SERIES - WEDGE FASTENER - UNLACQUERED SATIN BRASS,5323-USB,Batch,WIN5323USB,5323-USB,Windsor Brass,2019
WINDSOR 5320 SERIES - SQ. SLIDING DOOR FLUSHPULL KIT 200X37MM - POWDERCOAT,5320-PC,Batch,WIN5320PC,5320-PC,Windsor Brass,2019
WINDSOR 5320 SERIES - SQ. SLIDING DOOR FLUSHPULL KIT 200X37MM - STAINLESS STEEL,5320-SS,Batch,WIN5320SS,5320-SS,Windsor Brass,2019
WINDSOR 5322 SERIES - SQ. SLIDING DOOR FLUSHPULL KIT 300X37MM - POWDERCOAT,5322-PC,Batch,WIN5322PC,5322-PC,Windsor Brass,2019
WINDSOR 5322 SERIES - SQ. SLIDING DOOR FLUSHPULL KIT 300X37MM - STAINLESS STEEL,5322-SS,Batch,WIN5322SS,5322-SS,Windsor Brass,2019
WINDSOR 5323 SERIES - WEDGE FASTENER - DARK ROMAN BRASS,5323-DRB,Batch,WIN5323DRB,5323-DRB,Windsor Brass,2019
WINDSOR 5317 SERIES - 126X42MM FLUSHPULL 96MM CRS - MATT BLACK,5317-BLK,Batch,WIN5317BLK,5317-BLK,Windsor Brass,2019
WINDSOR 5317 SERIES - 126X42MM FLUSHPULL 96MM CRS - BRUSHED NICKEL,5317-BN,Batch,WIN5317BN,5317-BN,Windsor Brass,2019
WINDSOR 5317 SERIES - 126X42MM FLUSHPULL 96MM CRS - POWDERCOAT,5317-PC,Batch,WIN5317PC,5317-PC,Windsor Brass,2019
WINDSOR 5317 SERIES - 126X42MM FLUSHPULL 96MM CRS - SATIN CHROME,5317-SC,Batch,WIN5317SC,5317-SC,Windsor Brass,2019
MACTRAC M25SCWC2024 SHOWER CURTAIN,M25SCWC2024,FIFO,MACM25SCWC2024,M25SCWC2024,TETRAL INDUSTRIES 2020 LIMITED,1987
KICKPLATE 835x150.1.2SSS,KP835150,Batch,KP835150SSS,KP835150SSS,Glenside Engineering,1872
KICKPLATE 940x150.1.2SSS,KP940150,Batch,KP940150SSS,KP940150SSS,Glenside Engineering,1872
KICKPLATE 935X150 SSS,KP935150SSS,Batch,KP935150SSS,KP935150SSS,Glenside Engineering,1872
WINDSOR 450MM NITRO OFFSET SQUARE PULL MATT BLACK,WIN7129-BLK,Batch,WIN7129-BLK,7129-PC,Windsor Brass,2019
WINDSOR ASTRON SERIES - APOLLO SEPARATE PRIVACY SET BRUSHED NICKEL,7034-BN,Batch,WIN7034BN,7034-BN,Windsor Brass,2019
WINDSOR ASTRON SERIES - APOLLO PASSAGE SET BRUSHED NICKEL,7033-BN,Batch,WIN7033BN,7033-BN,Windsor Brass,2019
WINDSOR 3015 SERIES - SUTTON SQUARE LONGPLATE - EURO LOCKING SET - DARK ROMAN BRASS,3015-DRB,Batch,WIN3015DRB,3015-DRB,Windsor Brass,2019
WINDSOR 3013 SERIES - SUTTON SQUARE LONGPLATE - PASSAGE SET - UNLACQUERED BRASS,3013-UB,Batch,WIN3013UB,3013-UB,Windsor Brass,2019
WINDSOR 3013 SERIES - SUTTON SQUARE LONGPLATE - PASSAGE SET - UNLACQUERED SATIN BRASS,3013-USB,Batch,WIN3013USB,3013-USB,Windsor Brass,2019
WINDSOR 3013 SERIES - SUTTON SQUARE LONGPLATE - PASSAGE SET - NATURAL BRONZE,3013-NB,Batch,WIN3013NB,3013-NB,Windsor Brass,2019
WINDSOR 3013 SERIES - SUTTON SQUARE LONGPLATE - PASSAGE SET - OIL RUBBED BRONZE,3013-OR,Batch,WIN3013OR,3013-OR,Windsor Brass,2019
WINDSOR 3013 SERIES - SUTTON SQUARE LONGPLATE - PASSAGE SET - MATT BLACK,3013-BLK,Batch,WIN3013BLK,3013-BLK,Windsor Brass,2019
WINDSOR 3013 SERIES - SUTTON SQUARE LONGPLATE - PASSAGE SET - DARK ROMAN BRASS,3013-DRB,Batch,WIN3013DRB,3013-DRB,Windsor Brass,2019
WINDSOR 3011 SERIES - SUTTON PASSAGE SET - UNLACQUERED BRASS,3011-UB,Batch,WIN3011UB,3011-UB,Windsor Brass,2019
WINDSOR 3011 SERIES - SUTTON PASSAGE SET - UNLACQUERED SATIN BRASS,3011-USB,Batch,WIN3011USB,3011-USB,Windsor Brass,2019
WINDSOR 3011 SERIES - SUTTON PASSAGE SET - NATURAL BRONZE,3011-NB,Batch,WIN3011NB,3011-NB,Windsor Brass,2019
WINDSOR 3011 SERIES - SUTTON PASSAGE SET - OIL RUBBED BRONZE,3011-OR,Batch,WIN3011OR,3011-OR,Windsor Brass,2019
WINDSOR 3011 SERIES - SUTTON PASSAGE SET - MATT BLACK,3011-BLK,Batch,WIN3011BLK,3011-BLK,Windsor Brass,2019
WINDSOR 3011 SERIES - SUTTON PASSAGE SET - DARK ROMAN BRASS,3011-DRB,Batch,WIN3011DRB,3011-DRB,Windsor Brass,2019
WINDSOR 3015 SERIES - SUTTON SQUARE LONGPLATE - EURO LOCKING SET - ANTIQUE BRONZE,3015-AB,Batch,WIN3015AB,3015-AB,Windsor Brass,2019
WINDSOR 3015 SERIES - SUTTON SQUARE LONGPLATE - EURO LOCKING SET - POLISHED BRASS,3015-PB,Batch,WIN3015PB,3015-PB,Windsor Brass,2019
WINDSOR 3015 SERIES - SUTTON SQUARE LONGPLATE - EURO LOCKING SET - SATIN CHROME,3015-SC,Batch,WIN3015SC,3015-SC,Windsor Brass,2019
WINDSOR 3013 SERIES - SUTTON SQUARE LONGPLATE - PASSAGE SET - ANTIQUE BRONZE,3013-AB,Batch,WIN3013AB,3013-AB,Windsor Brass,2019
WINDSOR 3013 SERIES - SUTTON SQUARE LONGPLATE - PASSAGE SET - POLISHED BRASS,3013-PB,Batch,WIN3013PB,3013-PB,Windsor Brass,2019
WINDSOR 3013 SERIES - SUTTON SQUARE LONGPLATE - PASSAGE SET - SATIN CHROME,3013-SC,Batch,WIN3013SC,3013-SC,Windsor Brass,2019
WINDSOR 3014 SERIES - SUTTON SQUARE LONGPLATE - PRIVACY SET - ANTIQUE BRONZE,3014-AB,Batch,WIN3014AB,3014-AB,Windsor Brass,2019
WINDSOR 3014 SERIES - SUTTON SQUARE LONGPLATE - PRIVACY SET - POLISHED BRASS,3014-PB,Batch,WIN3014PB,3014-PB,Windsor Brass,2019
WINDSOR 3014 SERIES - SUTTON SQUARE LONGPLATE - PRIVACY SET - SATIN CHROME,3014-SC,Batch,WIN3014SC,3014-SC,Windsor Brass,2019
WINDSOR 3011 SERIES - SUTTON PASSAGE SET - ANTIQUE BRONZE,3011-AB,Batch,WIN3011AB,3011-AB,Windsor Brass,2019
WINDSOR 3011 SERIES - SUTTON PASSAGE SET - POLISHED BRASS,3011-PB,Batch,WIN3011PB,3011-PB,Windsor Brass,2019
WINDSOR 3011 SERIES - SUTTON PASSAGE SET - SATIN CHROME,3011-SC,Batch,WIN3011SC,3011-SC,Windsor Brass,2019
WINDSOR 3014 SERIES - SUTTON SQUARE LONGPLATE - PRIVACY SET - MATT BLACK,3014-BLK,Batch,WIN3014BLK,3014-BLK,Windsor Brass,2019
WINDSOR 3015 SERIES - SUTTON SQUARE LONGPLATE - EURO LOCKING SET - ROMAN BRASS,3015-RB,Batch,WIN3015RB,3015-RB,Windsor Brass,2019
WINDSOR 3015 SERIES - SUTTON SQUARE LONGPLATE - EURO LOCKING SET - NATURAL BRONZE,3015-NB,Batch,WIN3015NB,3015-NB,Windsor Brass,2019
WINDSOR 3015 SERIES - SUTTON SQUARE LONGPLATE - EURO LOCKING SET - OIL RUBBED BRONZE,3015-OR,Batch,WIN3015OR,3015-OR,Windsor Brass,2019
WINDSOR 3015 SERIES - SUTTON SQUARE LONGPLATE - EURO LOCKING SET - UNLACQUERED BRASS,3015-UB,Batch,WIN3015UB,3015-UB,Windsor Brass,2019
WINDSOR 3015 SERIES - SUTTON SQUARE LONGPLATE - EURO LOCKING SET - UNLACQUERED SATIN BRASS,3015-USB,Batch,WIN3015USB,3015-USB,Windsor Brass,2019
WINDSOR 5184 SERIES - CASEMENT STAY 350MM - MATT SATIN BRASS,5184-MSB,FIFO,WIN5184MSB,5184-MSB,Windsor Brass,2019
